Source,Target
"Georges-Louis Leclerc, Comte de Buffon",calculus
"Georges-Louis Leclerc, Comte de Buffon",integral calculus
"Georges-Louis Leclerc, Comte de Buffon",probability theory
Frans van Schooten,analytic geometry
Frans van Schooten,geometry
Pierre Méchain,analysis
Pierre Méchain,trigonometry
William Oughtred,algebra
William Oughtred,arithmetic
William Oughtred,calculus
William Oughtred,elementary algebra
William Oughtred,infinitesimal calculus
William Oughtred,recreational mathematics
Claude-Louis Navier,analysis
Claude-Louis Navier,calculus
Gabriel Lamé,analysis
Gabriel Lamé,complexity theory
Gabriel Lamé,computational complexity theory
Giovanni Domenico Cassini,geometry
Carl Hindenburg,analysis
Carl Hindenburg,combinatorics
Georg von Peuerbach,arithmetic
Georg von Peuerbach,elementary arithmetic
Georg von Peuerbach,trigonometry
Andreas von Ettingshausen,analysis
Andreas von Ettingshausen,combinatorial analysis
Willebrord Snellius,mathematical sciences
Willebrord Snellius,trigonometry
Olry Terquem,algebra
Olry Terquem,geometry
Johannes de Sacrobosco,arithmetic
Charles Dupin,analysis
Charles Dupin,differential geometry
Charles Dupin,geometry
István Hatvani,probability theory
Jan Śniadecki,algebra
Edmund Gunter,arithmetic
Edmund Gunter,calculus
Edmund Gunter,geometry
Edmund Gunter,trigonometry
Charles Étienne Louis Camus,geometry
Edward Waring,algebra
Edward Waring,calculus
Edward Waring,geometry
Edward Waring,number theory
Vincenzo Viviani,geometry
Michel Chasles,enumerative geometry
Michel Chasles,geometry
Michel Chasles,projective geometry
Scipione del Ferro,arithmetic
Scipione del Ferro,geometry
Robert Recorde,algebra
Jacopo Riccati,analysis
Jacopo Riccati,calculus
Jacopo Riccati,integral calculus
Johan de Witt,analytic geometry
Johan de Witt,geometry
Joseph-Louis Lagrange,algebra
Joseph-Louis Lagrange,analysis
Joseph-Louis Lagrange,calculus
Joseph-Louis Lagrange,calculus of variations
Joseph-Louis Lagrange,differential calculus
Joseph-Louis Lagrange,geometry
Joseph-Louis Lagrange,group theory
Joseph-Louis Lagrange,integral calculus
Joseph-Louis Lagrange,mathematical physics
Joseph-Louis Lagrange,number theory
Joseph-Louis Lagrange,pure mathematics
Georg Joachim Rheticus,arithmetic
Georg Joachim Rheticus,trigonometry
Johann Georg von Soldner,trigonometry
Gilles de Roberval,calculus
Gilles de Roberval,geometry
Gilles de Roberval,infinitesimal calculus
Gilles de Roberval,pure mathematics
Louis Poinsot,algebra
Louis Poinsot,analysis
Louis Poinsot,geometry
Louis Poinsot,number theory
Maine de Biran,analysis
Adhémar Jean Claude Barré de Saint-Venant,analysis
Adhémar Jean Claude Barré de Saint-Venant,calculus
Adhémar Jean Claude Barré de Saint-Venant,tensor
Adhémar Jean Claude Barré de Saint-Venant,vector calculus
Isaac Beeckman,analysis
Pierre Varignon,calculus
Pierre Varignon,differential calculus
Pierre Varignon,infinitesimal calculus
Irénée-Jules Bienaymé,statistics
Giovanni Antonio Magini,geometry
Giovanni Antonio Magini,trigonometry
Elena Cornaro Piscopia,geometry
Pedro Nunes,algebra
Pedro Nunes,arithmetic
Pedro Nunes,calculus
Pedro Nunes,differential calculus
Pedro Nunes,geometry
Pedro Nunes,spherical trigonometry
Pedro Nunes,trigonometry
Pietro Mengoli,algebra
Pietro Mengoli,arithmetic
Joseph Raphson,calculus
Nathaniel Bliss,algebra
Nathaniel Bliss,arithmetic
Nathaniel Bliss,geometry
Nathaniel Bliss,spherical geometry
Alexandre-Théophile Vandermonde,abstract algebra
Alexandre-Théophile Vandermonde,algebra
Alexandre-Théophile Vandermonde,combinatorics
Alexandre-Théophile Vandermonde,group theory
Alexandre-Théophile Vandermonde,knot theory
Anders Johan Lexell,algebra
Anders Johan Lexell,analysis
Anders Johan Lexell,analytic geometry
Anders Johan Lexell,calculus
Anders Johan Lexell,calculus of variations
Anders Johan Lexell,differential calculus
Anders Johan Lexell,geometry
Anders Johan Lexell,integral calculus
Anders Johan Lexell,spherical geometry
Anders Johan Lexell,spherical trigonometry
Anders Johan Lexell,trigonometry
Jacques Philippe Marie Binet,algebra
Jacques Philippe Marie Binet,matrix algebra
Jacques Philippe Marie Binet,number theory
Anselme Payen,analysis
Jean-Marie Duhamel,calculus
Erasmus Reinhold,applied mathematics
Evangelista Torricelli,geometry
John Playfair,geometry
John Playfair,pure mathematics
John Playfair,spherical trigonometry
John Playfair,trigonometry
Erland Samuel Bring,algebra
Erland Samuel Bring,analysis
Erland Samuel Bring,geometry
Samuel Morland,arithmetic
Samuel Morland,cryptography
Roger Cotes,analysis
Roger Cotes,calculus
Roger Cotes,integral calculus
Roger Cotes,numerical analysis
George Peacock,algebra
George Peacock,analysis
George Peacock,arithmetic
George Peacock,calculus
George Peacock,computer algebra
George Peacock,elementary mathematics
George Peacock,integral calculus
George Peacock,tensor
Jan Brożek,geometry
Willem 's Gravesande,mathematical sciences
Joseph Sauveur,geometry
Nikolai Brashman,applied mathematics
Nikolai Brashman,geometry
Daniel Bernoulli,analysis
Daniel Bernoulli,calculus
Daniel Bernoulli,probability theory
Daniel Bernoulli,statistics
Jacob Bernoulli,algebra
Jacob Bernoulli,analysis
Jacob Bernoulli,arithmetic
Jacob Bernoulli,calculus
Jacob Bernoulli,calculus of variations
Jacob Bernoulli,combinatorics
Jacob Bernoulli,differential calculus
Jacob Bernoulli,geometry
Jacob Bernoulli,probability theory
Nikolai Ivanovich Lobachevsky,algebra
Nikolai Ivanovich Lobachevsky,differential geometry
Nikolai Ivanovich Lobachevsky,geometry
Nikolai Ivanovich Lobachevsky,hyperbolic geometry
Jakob Steiner,algebra
Jakob Steiner,analysis
Jakob Steiner,calculus
Jakob Steiner,calculus of variations
Jakob Steiner,combinatorics
Jakob Steiner,computational geometry
Jakob Steiner,geometry
Jakob Steiner,projective geometry
Jakob Steiner,synthetic geometry
Nicolaus I Bernoulli,geometry
Nicolaus I Bernoulli,probability theory
Leonty Magnitsky,arithmetic
Leonty Magnitsky,geometry
Leonty Magnitsky,trigonometry
Leon Battista Alberti,analysis
Leon Battista Alberti,cryptography
Gabriel Cramer,algebra
Martin Ohm,elementary mathematics
Robert Woodhouse,calculus
Robert Woodhouse,calculus of variations
Robert Woodhouse,spherical trigonometry
Robert Woodhouse,trigonometry
Amédée-François Frézier,geometry
Johannes Hudde,analytic geometry
Johannes Hudde,calculus
Johannes Hudde,geometry
Johannes Hudde,group theory
Johannes Hudde,infinitesimal calculus
Nicolas Fuss,actuarial science
Nicolas Fuss,differential geometry
Nicolas Fuss,geometry
Nicolas Fuss,spherical trigonometry
Nicolas Fuss,trigonometry
Henry Cavendish,algebra
Henry Cavendish,arithmetic
John Napier,analysis
John Napier,arithmetic
John Napier,spherical trigonometry
John Napier,trigonometry
Caspar Peucer,arithmetic
Caspar Peucer,geometry
Caspar Peucer,spherical geometry
Thomas Carlyle,analysis
Thomas Carlyle,arithmetic
Thomas Carlyle,geometry
Jean-Victor Poncelet,geometry
Jean-Victor Poncelet,projective geometry
David Brewster,analysis
Christopher Wren,arithmetic
Christopher Wren,geometry
Roger Bacon,arithmetic
Roger Bacon,geometry
Brook Taylor,analysis
Brook Taylor,calculus
Brook Taylor,differential calculus
Ernst Chladni,algebra
Johann Christian Ludwig Hellwig,arithmetic
Georg Simon Klügel,trigonometry
Bonaventura Cavalieri,calculus
Bonaventura Cavalieri,geometry
Bonaventura Cavalieri,infinitesimal calculus
Bonaventura Cavalieri,integral calculus
Nicolas Chuquet,algebra
Richard of Wallingford,trigonometry
Jean le Rond d'Alembert,algebra
Jean le Rond d'Alembert,analysis
Jean le Rond d'Alembert,theoretical physics
John Dee,arithmetic
John Dee,geometry
Guillaume de l'Hôpital,calculus
Guillaume de l'Hôpital,differential calculus
Guillaume de l'Hôpital,differential geometry
Guillaume de l'Hôpital,differential geometry of curves
Guillaume de l'Hôpital,geometry
Guillaume de l'Hôpital,infinitesimal calculus
Guillaume de l'Hôpital,integral calculus
François Viète,algebra
François Viète,algebraic geometry
François Viète,analysis
François Viète,arithmetic
François Viète,cryptography
François Viète,geometry
François Viète,modern algebra
François Viète,trigonometry
Marin Mersenne,cryptography
Siméon Denis Poisson,algebra
Siméon Denis Poisson,analysis
Siméon Denis Poisson,applied mathematics
Siméon Denis Poisson,calculus
Siméon Denis Poisson,calculus of variations
Siméon Denis Poisson,complex analysis
Siméon Denis Poisson,mathematical physics
Siméon Denis Poisson,potential theory
Siméon Denis Poisson,probability theory
Siméon Denis Poisson,pure mathematics
Siméon Denis Poisson,statistics
Adrien-Marie Legendre,analysis
Adrien-Marie Legendre,geometry
Adrien-Marie Legendre,number theory
Adrien-Marie Legendre,statistics
Adrien-Marie Legendre,trigonometry
Gerolamo Cardano,algebra
Gerolamo Cardano,analysis
Gerolamo Cardano,arithmetic
François Arago,geometry
François Budan de Boislaurent,algebra
François Budan de Boislaurent,combinatorics
Bernard Bolzano,algebra
Bernard Bolzano,analysis
Bernard Bolzano,calculus
Bernard Bolzano,differential calculus
Emmanuel Swedenborg,analysis
Emmanuel Swedenborg,geometry
Robert Adrain,algebra
Robert Adrain,statistics
John Wallis,algebra
John Wallis,analysis
John Wallis,analytic geometry
John Wallis,calculus
John Wallis,cryptography
John Wallis,geometry
John Wallis,infinitesimal calculus
John Wallis,trigonometry
Thomas Bayes,calculus
Thomas Bayes,ergodic theory
Thomas Bayes,probability theory
Thomas Bayes,statistics
Abraham de Moivre,analysis
Abraham de Moivre,analytic geometry
Abraham de Moivre,calculus
Abraham de Moivre,geometry
Abraham de Moivre,probability theory
Abraham de Moivre,trigonometry
Gaspard Monge,analysis
Gaspard Monge,differential geometry
Gaspard Monge,geometry
Gaspard Monge,topology
Christian Goldbach,analysis
Christian Goldbach,calculus
Christian Goldbach,differential calculus
Christian Goldbach,number theory
Isaac Barrow,analysis
Isaac Barrow,calculus
Isaac Barrow,differential calculus
Isaac Barrow,geometry
Isaac Barrow,infinitesimal calculus
Timofei Fedorovic Osipovsky,analysis
Pierre-Dominique Bazaine,calculus
Pierre-Dominique Bazaine,differential calculus
Pierre-Dominique Bazaine,geometry
Pierre-Dominique Bazaine,integral calculus
Pierre-Dominique Bazaine,plane geometry
William Neile,algebra
William Neile,calculus
William Neile,differential geometry
William Neile,geometry
William Neile,infinitesimal calculus
Paul Heinrich Fuss,algebra
Heinrich August Rothe,combinatorics
Heinrich August Rothe,geometry
Dénes Kőnig,analysis
Dénes Kőnig,discrete mathematics
Dénes Kőnig,geometry
Dénes Kőnig,graph theory
Dénes Kőnig,set theory
Dénes Kőnig,topology
John Couch Adams,algebra
John Couch Adams,analysis
John Couch Adams,geometry
John Couch Adams,order theory
George Biddell Airy,mathematical physics
Louis Couturat,algebra
Maurice René Fréchet,analysis
Maurice René Fréchet,calculus
Maurice René Fréchet,functional analysis
Maurice René Fréchet,general topology
Maurice René Fréchet,group theory
Maurice René Fréchet,statistics
Maurice René Fréchet,topology
Issai Schur,algebra
Issai Schur,combinatorics
Issai Schur,group theory
Issai Schur,matrix theory
Issai Schur,number theory
Issai Schur,representation theory
Issai Schur,tensor
Issai Schur,theoretical physics
James Clerk Maxwell,algebra
James Clerk Maxwell,analysis
James Clerk Maxwell,geometry
James Clerk Maxwell,linear algebra
James Clerk Maxwell,mathematical physics
James Clerk Maxwell,statistics
James Clerk Maxwell,vector analysis
Emil Artin,abstract algebra
Emil Artin,algebra
Emil Artin,algebraic geometry
Emil Artin,algebraic number theory
Emil Artin,algebraic topology
Emil Artin,calculus
Emil Artin,class field theory
Emil Artin,field theory
Emil Artin,geometry
Emil Artin,mathematical physics
Emil Artin,number theory
Emil Artin,ring theory
Emil Artin,symplectic geometry
Emil Artin,topology
Évariste Galois,abstract algebra
Évariste Galois,algebra
Évariste Galois,analysis
Évariste Galois,group theory
Évariste Galois,number theory
Emmy Noether,abstract algebra
Emmy Noether,algebra
Emmy Noether,algebraic geometry
Emmy Noether,algebraic topology
Emmy Noether,applied mathematics
Emmy Noether,arithmetic
Emmy Noether,arithmetic geometry
Emmy Noether,calculus
Emmy Noether,calculus of variations
Emmy Noether,class field theory
Emmy Noether,classical invariant theory
Emmy Noether,combinatorial topology
Emmy Noether,commutative algebra
Emmy Noether,elimination theory
Emmy Noether,field theory
Emmy Noether,geometry
Emmy Noether,group theory
Emmy Noether,ideal theory
Emmy Noether,invariant theory
Emmy Noether,mathematical physics
Emmy Noether,modern algebra
Emmy Noether,noncommutative algebra
Emmy Noether,number theory
Emmy Noether,projective geometry
Emmy Noether,representation theory
Emmy Noether,representation theory of groups
Emmy Noether,ring theory
Emmy Noether,statistics
Emmy Noether,theoretical physics
Emmy Noether,topology
Julius Plücker,algebra
Julius Plücker,analysis
Julius Plücker,geometry
Julius Plücker,line geometry
Julius Plücker,projective geometry
Carl David Tolmé Runge,analysis
Carl David Tolmé Runge,numerical analysis
Carl David Tolmé Runge,pure mathematics
Charles-Ange Laisant,algebra
Charles-Ange Laisant,geometric algebra
Karl Rohn,algebra
Karl Rohn,geometry
Gustav Roch,algebra
Sophus Lie,algebra
Sophus Lie,geometry
Sophus Lie,group theory
Sophus Lie,invariant theory
Sophus Lie,pure mathematics
Bertrand Russell,analysis
Bertrand Russell,calculus
Bertrand Russell,geometry
Bertrand Russell,set theory
Bertrand Russell,type theory
Edmund Husserl,analysis
Edmund Husserl,arithmetic
Edmund Husserl,geometry
Edmund Husserl,mathematical sciences
Edmund Husserl,set theory
Edmund Landau,algebra
Edmund Landau,analysis
Edmund Landau,analytic number theory
Edmund Landau,complex analysis
Edmund Landau,number theory
Paul Stäckel,differential geometry
Paul Stäckel,geometry
Paul Stäckel,number theory
Oskar Anderson,econometrics
Oskar Anderson,mathematical statistics
Oskar Anderson,statistics
Jakob Rosanes,algebra
Jakob Rosanes,algebraic geometry
Jakob Rosanes,geometry
Jakob Rosanes,invariant theory
Paul Epstein,number theory
Georg Hamel,algebra
Georg Hamel,function theory
Leopold Kronecker,algebra
Leopold Kronecker,algebraic number theory
Leopold Kronecker,analysis
Leopold Kronecker,group theory
Leopold Kronecker,number theory
Leopold Kronecker,set theory
Georg Cantor,algebra
Georg Cantor,analysis
Georg Cantor,arithmetic
Georg Cantor,calculus
Georg Cantor,descriptive set theory
Georg Cantor,differential geometry
Georg Cantor,geometry
Georg Cantor,number theory
Georg Cantor,real algebra
Georg Cantor,set theory
Georg Cantor,topology
Georg Cantor,trigonometry
Walther Bothe,theoretical physics
Gustav Herglotz,analysis
Gustav Herglotz,applied mathematics
Gustav Herglotz,number theory
Gustav Herglotz,tensor
Theodor Molien,algebra
Theodor Molien,analysis
Theodor Molien,applied mathematics
Theodor Molien,geometry
Theodor Molien,number theory
Theodor Molien,projective geometry
Theodor Molien,pure mathematics
Thomas Alva Edison,analysis
Thomas Alva Edison,arithmetic
Thomas Alva Edison,topology
Felix Hausdorff,algebra
Felix Hausdorff,analysis
Felix Hausdorff,axiomatic set theory
Felix Hausdorff,descriptive set theory
Felix Hausdorff,functional analysis
Felix Hausdorff,general topology
Felix Hausdorff,geometric measure theory
Felix Hausdorff,geometry
Felix Hausdorff,harmonic analysis
Felix Hausdorff,measure theory
Felix Hausdorff,model theory
Felix Hausdorff,number theory
Felix Hausdorff,potential theory
Felix Hausdorff,probability theory
Felix Hausdorff,set-theoretic topology
Felix Hausdorff,set theory
Felix Hausdorff,stochastic process
Felix Hausdorff,topology
Richard Courant,analysis
Richard Courant,applied mathematics
Richard Courant,calculus
Richard Courant,calculus of variations
Richard Courant,geometry
Richard Courant,mathematical physics
Richard Courant,real analysis
Richard Courant,synthetic geometry
Gotthold Eisenstein,analysis
Gotthold Eisenstein,calculus
Gotthold Eisenstein,differential calculus
Gotthold Eisenstein,number theory
Hermann Schwarz,analysis
Hermann Schwarz,calculus
Hermann Schwarz,calculus of variations
Hermann Schwarz,complex analysis
Hermann Schwarz,differential geometry
Hermann Schwarz,geometry
Elwin Bruno Christoffel,absolute differential calculus
Elwin Bruno Christoffel,analysis
Elwin Bruno Christoffel,calculus
Elwin Bruno Christoffel,complex analysis
Elwin Bruno Christoffel,differential calculus
Elwin Bruno Christoffel,differential geometry
Elwin Bruno Christoffel,geometry
Elwin Bruno Christoffel,mathematical physics
Elwin Bruno Christoffel,potential theory
Elwin Bruno Christoffel,tensor
Hans Rademacher,analysis
Hans Rademacher,analytic number theory
Hans Rademacher,number theory
Hermann Weyl,abstract algebra
Hermann Weyl,additive number theory
Hermann Weyl,algebra
Hermann Weyl,analysis
Hermann Weyl,analytic number theory
Hermann Weyl,arithmetic
Hermann Weyl,calculus
Hermann Weyl,conformal geometry
Hermann Weyl,gauge theory
Hermann Weyl,geometry
Hermann Weyl,infinitesimal analysis
Hermann Weyl,invariant theory
Hermann Weyl,mathematical physics
Hermann Weyl,number theory
Hermann Weyl,pure mathematics
Hermann Weyl,representation theory
Hermann Weyl,smooth infinitesimal analysis
Hermann Weyl,tensor
Hermann Weyl,theoretical physics
Hermann Weyl,topology
Alexander Ostrowski,algebra
Alexander Ostrowski,number theory
Alfred Pringsheim,analysis
Alfred Pringsheim,analytic combinatorics
Alfred Pringsheim,arithmetic
Alfred Pringsheim,combinatorics
Alfred Pringsheim,complex analysis
Alfred Pringsheim,number theory
Richard Dedekind,abstract algebra
Richard Dedekind,algebra
Richard Dedekind,arithmetic
Richard Dedekind,calculus
Richard Dedekind,geometry
Richard Dedekind,number theory
Richard Dedekind,ring theory
Richard Dedekind,set theory
Carl Gustav Axel Harnack,algebra
Carl Gustav Axel Harnack,algebraic geometry
Carl Gustav Axel Harnack,analysis
Carl Gustav Axel Harnack,calculus
Carl Gustav Axel Harnack,geometry
Carl Gustav Axel Harnack,harmonic analysis
Carl Gustav Axel Harnack,integral calculus
Carl Gustav Axel Harnack,potential theory
Carl Gustav Axel Harnack,real algebra
Carl Gustav Axel Harnack,real algebraic geometry
Kurt Reidemeister,algebra
Kurt Reidemeister,algebraic number theory
Kurt Reidemeister,combinatorial group theory
Kurt Reidemeister,combinatorial topology
Kurt Reidemeister,differential geometry
Kurt Reidemeister,geometric group theory
Kurt Reidemeister,geometry
Kurt Reidemeister,group theory
Kurt Reidemeister,knot theory
Kurt Reidemeister,number theory
Kurt Reidemeister,topology
Emanuel Lasker,algebra
Emanuel Lasker,algebraic geometry
Emanuel Lasker,analysis
Emanuel Lasker,commutative algebra
Emanuel Lasker,game theory
Emanuel Lasker,geometry
Emanuel Lasker,modern algebra
Charles Proteus Steinmetz,algebra
Charles Proteus Steinmetz,analysis
Charles Proteus Steinmetz,calculus
Erwin Schrödinger,field theory
Erwin Schrödinger,mathematical statistics
Erwin Schrödinger,statistical mechanics
Erwin Schrödinger,statistics
Erwin Schrödinger,theoretical physics
John Maynard Keynes,analysis
John Maynard Keynes,arithmetic
John Maynard Keynes,probability theory
John Maynard Keynes,statistics
Ludwig Wittgenstein,algebra
Ludwig Wittgenstein,analysis
Ludwig Wittgenstein,geometry
Ludwig Wittgenstein,mathematical logic
Vilfredo Pareto,analysis
Vilfredo Pareto,game theory
Vilfredo Pareto,statistics
Adolf Hurwitz,algebra
Adolf Hurwitz,analysis
Adolf Hurwitz,arithmetic
Adolf Hurwitz,complex analysis
Adolf Hurwitz,dynamical systems theory
Adolf Hurwitz,geometry
Adolf Hurwitz,number theory
Adolf Hurwitz,order theory
Arthur Scherbius,cryptography
Carl Ludwig Siegel,algebra
Carl Ludwig Siegel,analytic number theory
