Source,Target,Weight
"""algebra""","""absolute differential calculus""",3
"""analysis""","""absolute differential calculus""",5
"""applied mathematics""","""absolute differential calculus""",1
"""calculus""","""absolute differential calculus""",9
"""complex analysis""","""absolute differential calculus""",4
"""differential calculus""","""absolute differential calculus""",9
"""differential geometry""","""absolute differential calculus""",4
"""geometry""","""absolute differential calculus""",7
"""infinitesimal analysis""","""absolute differential calculus""",1
"""mathematical physics""","""absolute differential calculus""",2
"""measure theory""","""absolute differential calculus""",1
"""potential theory""","""absolute differential calculus""",1
"""tensor""","""absolute differential calculus""",7
"""algebra""","""absolute geometry""",1
"""applied mathematics""","""absolute geometry""",1
"""arithmetic""","""absolute geometry""",2
"""calculus""","""absolute geometry""",1
"""geometry""","""absolute geometry""",3
"""hyperbolic geometry""","""absolute geometry""",1
"""number theory""","""absolute geometry""",1
"""additive number theory""","""abstract algebra""",2
"""algebra""","""abstract algebra""",65
"""algebraic geometry""","""abstract algebra""",13
"""algebraic number theory""","""abstract algebra""",4
"""algebraic topology""","""abstract algebra""",4
"""analysis""","""abstract algebra""",29
"""analytic geometry""","""abstract algebra""",4
"""analytic number theory""","""abstract algebra""",2
"""applied mathematics""","""abstract algebra""",4
"""arithmetic""","""abstract algebra""",11
"""arithmetic geometry""","""abstract algebra""",1
"""birational geometry""","""abstract algebra""",1
"""calculus""","""abstract algebra""",18
"""calculus of variations""","""abstract algebra""",3
"""class field theory""","""abstract algebra""",6
"""classical invariant theory""","""abstract algebra""",1
"""combinatorial topology""","""abstract algebra""",1
"""combinatorics""","""abstract algebra""",8
"""commutative algebra""","""abstract algebra""",4
"""complex analysis""","""abstract algebra""",5
"""conformal geometry""","""abstract algebra""",1
"""differential calculus""","""abstract algebra""",2
"""differential geometry""","""abstract algebra""",11
"""differential geometry of curves""","""abstract algebra""",2
"""elementary arithmetic""","""abstract algebra""",1
"""elimination theory""","""abstract algebra""",1
"""elliptic geometry""","""abstract algebra""",1
"""euclidean geometry""","""abstract algebra""",2
"""exterior algebra""","""abstract algebra""",1
"""field theory""","""abstract algebra""",11
"""finite geometry""","""abstract algebra""",3
"""function theory""","""abstract algebra""",2
"""gauge theory""","""abstract algebra""",1
"""geometric algebra""","""abstract algebra""",3
"""geometric calculus""","""abstract algebra""",1
"""geometry""","""abstract algebra""",35
"""graph theory""","""abstract algebra""",6
"""group theory""","""abstract algebra""",22
"""harmonic analysis""","""abstract algebra""",2
"""ideal theory""","""abstract algebra""",2
"""infinitesimal analysis""","""abstract algebra""",3
"""infinitesimal calculus""","""abstract algebra""",2
"""integral calculus""","""abstract algebra""",1
"""invariant theory""","""abstract algebra""",7
"""knot theory""","""abstract algebra""",1
"""lattice theory""","""abstract algebra""",6
"""line geometry""","""abstract algebra""",2
"""linear algebra""","""abstract algebra""",9
"""mathematical logic""","""abstract algebra""",5
"""mathematical physics""","""abstract algebra""",9
"""metric geometry""","""abstract algebra""",2
"""microlocal analysis""","""abstract algebra""",1
"""modern algebra""","""abstract algebra""",7
"""multilinear algebra""","""abstract algebra""",1
"""non-euclidean geometry""","""abstract algebra""",2
"""non-standard analysis""","""abstract algebra""",3
"""noncommutative algebra""","""abstract algebra""",1
"""number theory""","""abstract algebra""",20
"""order theory""","""abstract algebra""",2
"""plane geometry""","""abstract algebra""",1
"""potential theory""","""abstract algebra""",1
"""projective geometry""","""abstract algebra""",5
"""pure mathematics""","""abstract algebra""",7
"""rational geometry""","""abstract algebra""",1
"""real algebra""","""abstract algebra""",1
"""real analysis""","""abstract algebra""",3
"""representation theory""","""abstract algebra""",6
"""representation theory of groups""","""abstract algebra""",1
"""ring theory""","""abstract algebra""",11
"""set theory""","""abstract algebra""",10
"""smooth infinitesimal analysis""","""abstract algebra""",1
"""spherical trigonometry""","""abstract algebra""",1
"""statistics""","""abstract algebra""",7
"""symplectic geometry""","""abstract algebra""",2
"""tensor""","""abstract algebra""",6
"""theoretical physics""","""abstract algebra""",4
"""topology""","""abstract algebra""",16
"""trigonometry""","""abstract algebra""",1
"""vector algebra""","""abstract algebra""",2
"""vector calculus""","""abstract algebra""",1
"""algebra""","""actuarial science""",3
"""analysis""","""actuarial science""",6
"""analytic number theory""","""actuarial science""",1
"""applied mathematics""","""actuarial science""",2
"""arithmetic""","""actuarial science""",1
"""calculus""","""actuarial science""",2
"""combinatorics""","""actuarial science""",2
"""differential calculus""","""actuarial science""",1
"""differential geometry""","""actuarial science""",2
"""epidemiology""","""actuarial science""",1
"""fractal geometry""","""actuarial science""",1
"""game theory""","""actuarial science""",1
"""geometry""","""actuarial science""",5
"""harmonic analysis""","""actuarial science""",1
"""infinitesimal analysis""","""actuarial science""",1
"""integral calculus""","""actuarial science""",1
"""large deviations theory""","""actuarial science""",1
"""linear algebra""","""actuarial science""",1
"""mathematical logic""","""actuarial science""",1
"""mathematical statistics""","""actuarial science""",4
"""model theory""","""actuarial science""",1
"""non-standard analysis""","""actuarial science""",1
"""number theory""","""actuarial science""",2
"""potential theory""","""actuarial science""",1
"""probability theory""","""actuarial science""",5
"""probabilistic number theory""","""actuarial science""",1
"""set theory""","""actuarial science""",1
"""spherical trigonometry""","""actuarial science""",1
"""statistical theory""","""actuarial science""",2
"""statistics""","""actuarial science""",7
"""topology""","""actuarial science""",1
"""trigonometry""","""actuarial science""",1
"""abstract algebra""","""additive number theory""",2
"""algebra""","""additive number theory""",4
"""analysis""","""additive number theory""",5
"""analytic number theory""","""additive number theory""",3
"""arithmetic""","""additive number theory""",2
"""calculus""","""additive number theory""",1
"""conformal geometry""","""additive number theory""",1
"""field theory""","""additive number theory""",2
"""gauge theory""","""additive number theory""",1
"""geometry""","""additive number theory""",2
"""group theory""","""additive number theory""",1
"""infinitesimal analysis""","""additive number theory""",1
"""invariant theory""","""additive number theory""",2
"""mathematical physics""","""additive number theory""",2
"""number theory""","""additive number theory""",8
"""pure mathematics""","""additive number theory""",2
"""representation theory""","""additive number theory""",1
"""smooth infinitesimal analysis""","""additive number theory""",1
"""tensor""","""additive number theory""",1
"""theoretical physics""","""additive number theory""",1
"""topology""","""additive number theory""",2
"""algebra""","""affine geometry""",6
"""arithmetic""","""affine geometry""",2
"""geometry""","""affine geometry""",8
"""mathematical logic""","""affine geometry""",2
"""projective geometry""","""affine geometry""",3
"""absolute differential calculus""","""algebra""",3
"""absolute geometry""","""algebra""",1
"""abstract algebra""","""algebra""",65
"""actuarial science""","""algebra""",3
"""additive number theory""","""algebra""",4
"""affine geometry""","""algebra""",6
"""algebraic analysis""","""algebra""",7
"""algebraic geometry""","""algebra""",123
"""algebraic graph theory""","""algebra""",2
"""algebraic number theory""","""algebra""",31
"""algebraic topology""","""algebra""",53
"""analysis""","""algebra""",267
"""analytic geometry""","""algebra""",30
"""analytic number theory""","""algebra""",16
"""applied mathematics""","""algebra""",54
"""approximation theory""","""algebra""",4
"""arithmetic""","""algebra""",94
"""arithmetic geometry""","""algebra""",5
"""axiomatic set theory""","""algebra""",10
"""birational geometry""","""algebra""",7
"""calculus""","""algebra""",133
"""calculus of variations""","""algebra""",27
"""chaos theory""","""algebra""",4
"""class field theory""","""algebra""",14
"""classical differential geometry""","""algebra""",3
"""classical analysis""","""algebra""",2
"""classical geometry""","""algebra""",3
"""classical invariant theory""","""algebra""",1
"""classical mathematics""","""algebra""",3
"""cohomology theory""","""algebra""",10
"""combinatorial group theory""","""algebra""",5
"""combinatorial mathematics""","""algebra""",1
"""combinatorial theory""","""algebra""",3
"""combinatorial topology""","""algebra""",8
"""combinatorics""","""algebra""",42
"""commutative algebra""","""algebra""",29
"""complex analysis""","""algebra""",40
"""computational geometry""","""algebra""",2
"""computer algebra""","""algebra""",8
"""conformal geometry""","""algebra""",1
"""constructive function theory""","""algebra""",1
"""constructive mathematics""","""algebra""",4
"""coordinate geometry""","""algebra""",2
"""cryptography""","""algebra""",13
"""descriptive set theory""","""algebra""",5
"""differential calculus""","""algebra""",21
"""differential geometry""","""algebra""",79
"""differential geometry of curves""","""algebra""",4
"""differential geometry of surfaces""","""algebra""",5
"""differential topology""","""algebra""",9
"""diophantine geometry""","""algebra""",4
"""discrete geometry""","""algebra""",2
"""dynamical systems theory""","""algebra""",3
"""elementary algebra""","""algebra""",2
"""elementary arithmetic""","""algebra""",1
"""elementary mathematics""","""algebra""",8
"""elimination theory""","""algebra""",1
"""elliptic geometry""","""algebra""",1
"""enumerative combinatorics""","""algebra""",2
"""enumerative geometry""","""algebra""",1
"""epidemiology""","""algebra""",2
"""euclidean geometry""","""algebra""",3
"""exterior algebra""","""algebra""",5
"""field theory""","""algebra""",37
"""finite geometry""","""algebra""",4
"""fractal geometry""","""algebra""",1
"""function theory""","""algebra""",29
"""functional analysis""","""algebra""",37
"""game theory""","""algebra""",17
"""gauge theory""","""algebra""",6
"""general topology""","""algebra""",13
"""geometric algebra""","""algebra""",8
"""geometric calculus""","""algebra""",1
"""geometric group theory""","""algebra""",2
"""geometric measure theory""","""algebra""",2
"""geometric topology""","""algebra""",6
"""geometry""","""algebra""",349
"""geometry of numbers""","""algebra""",5
"""graph theory""","""algebra""",21
"""group theory""","""algebra""",85
"""harmonic analysis""","""algebra""",19
"""homology theory""","""algebra""",15
"""hyperbolic geometry""","""algebra""",12
"""hyperbolic trigonometry""","""algebra""",1
"""ideal theory""","""algebra""",6
"""infinitesimal analysis""","""algebra""",9
"""infinitesimal calculus""","""algebra""",12
"""integral calculus""","""algebra""",15
"""invariant theory""","""algebra""",26
"""knot theory""","""algebra""",17
"""lattice theory""","""algebra""",14
"""line geometry""","""algebra""",3
"""linear algebra""","""algebra""",65
"""local class field theory""","""algebra""",3
"""mathematical biology""","""algebra""",3
"""mathematical economics""","""algebra""",6
"""mathematical logic""","""algebra""",43
"""mathematical physics""","""algebra""",54
"""mathematical sciences""","""algebra""",19
"""mathematical statistics""","""algebra""",7
"""matrix algebra""","""algebra""",13
"""matrix theory""","""algebra""",15
"""measure theory""","""algebra""",22
"""metric geometry""","""algebra""",3
"""microlocal analysis""","""algebra""",3
"""model theory""","""algebra""",19
"""modern algebra""","""algebra""",17
"""multilinear algebra""","""algebra""",3
"""non-euclidean geometry""","""algebra""",3
"""non-standard analysis""","""algebra""",8
"""noncommutative algebra""","""algebra""",3
"""number theory""","""algebra""",147
"""numerical analysis""","""algebra""",17
"""order theory""","""algebra""",6
"""partition theory""","""algebra""",1
"""perturbation theory""","""algebra""",4
"""plane geometry""","""algebra""",5
"""potential theory""","""algebra""",15
"""probability theory""","""algebra""",34
"""projective geometry""","""algebra""",32
"""projective differential geometry""","""algebra""",2
"""proof theory""","""algebra""",4
"""pure mathematics""","""algebra""",46
"""rational geometry""","""algebra""",9
"""real algebra""","""algebra""",11
"""real algebraic geometry""","""algebra""",4
"""real analysis""","""algebra""",15
"""recreational mathematics""","""algebra""",8
"""recursion theory""","""algebra""",3
"""representation theory""","""algebra""",39
"""representation theory of groups""","""algebra""",4
"""ring theory""","""algebra""",28
"""set-theoretic topology""","""algebra""",4
"""set theory""","""algebra""",53
"""singularity theory""","""algebra""",8
"""smooth infinitesimal analysis""","""algebra""",1
"""solid geometry""","""algebra""",4
"""spectral theory""","""algebra""",6
"""spherical geometry""","""algebra""",2
"""spherical trigonometry""","""algebra""",5
"""statistical mechanics""","""algebra""",9
"""statistical theory""","""algebra""",3
"""statistics""","""algebra""",54
"""stochastic process""","""algebra""",8
"""symplectic geometry""","""algebra""",8
"""synthetic geometry""","""algebra""",6
"""tensor""","""algebra""",34
"""tessellation""","""algebra""",6
"""theoretical physics""","""algebra""",28
"""topology""","""algebra""",146
"""trigonometry""","""algebra""",17
"""universal algebra""","""algebra""",10
"""valuation theory""","""algebra""",6
"""vector algebra""","""algebra""",3
"""vector analysis""","""algebra""",4
"""vector calculus""","""algebra""",2
"""algebra""","""algebraic analysis""",7
"""analysis""","""algebraic analysis""",7
"""analytic geometry""","""algebraic analysis""",2
"""applied mathematics""","""algebraic analysis""",1
"""arithmetic""","""algebraic analysis""",1
"""calculus""","""algebraic analysis""",4
"""complex analysis""","""algebraic analysis""",3
"""differential geometry""","""algebraic analysis""",3
"""function theory""","""algebraic analysis""",4
"""geometry""","""algebraic analysis""",5
"""infinitesimal analysis""","""algebraic analysis""",1
"""integral calculus""","""algebraic analysis""",1
"""mathematical logic""","""algebraic analysis""",1
"""mathematical physics""","""algebraic analysis""",1
"""mathematical sciences""","""algebraic analysis""",1
"""number theory""","""algebraic analysis""",3
"""projective geometry""","""algebraic analysis""",1
"""abstract algebra""","""algebraic geometry""",13
"""algebra""","""algebraic geometry""",123
"""algebraic number theory""","""algebraic geometry""",5
"""algebraic topology""","""algebraic geometry""",12
"""analysis""","""algebraic geometry""",36
"""analytic geometry""","""algebraic geometry""",8
"""analytic number theory""","""algebraic geometry""",3
"""applied mathematics""","""algebraic geometry""",5
"""arithmetic""","""algebraic geometry""",17
"""arithmetic geometry""","""algebraic geometry""",3
"""birational geometry""","""algebraic geometry""",7
"""calculus""","""algebraic geometry""",16
"""calculus of variations""","""algebraic geometry""",2
"""chaos theory""","""algebraic geometry""",1
"""class field theory""","""algebraic geometry""",5
"""classical invariant theory""","""algebraic geometry""",1
"""cohomology theory""","""algebraic geometry""",6
"""combinatorial topology""","""algebraic geometry""",2
"""commutative algebra""","""algebraic geometry""",17
"""complex analysis""","""algebraic geometry""",7
"""computer algebra""","""algebraic geometry""",1
"""cryptography""","""algebraic geometry""",3
"""differential geometry""","""algebraic geometry""",21
"""differential geometry of surfaces""","""algebraic geometry""",1
"""dynamical systems theory""","""algebraic geometry""",2
"""elimination theory""","""algebraic geometry""",1
"""enumerative geometry""","""algebraic geometry""",1
"""euclidean geometry""","""algebraic geometry""",1
"""field theory""","""algebraic geometry""",9
"""finite geometry""","""algebraic geometry""",1
"""function theory""","""algebraic geometry""",5
"""functional analysis""","""algebraic geometry""",6
"""game theory""","""algebraic geometry""",4
"""geometric algebra""","""algebraic geometry""",1
"""geometric topology""","""algebraic geometry""",1
"""geometry""","""algebraic geometry""",123
"""group theory""","""algebraic geometry""",12
"""harmonic analysis""","""algebraic geometry""",2
"""homology theory""","""algebraic geometry""",6
"""hyperbolic geometry""","""algebraic geometry""",4
"""ideal theory""","""algebraic geometry""",2
"""integral calculus""","""algebraic geometry""",2
"""invariant theory""","""algebraic geometry""",10
"""line geometry""","""algebraic geometry""",1
"""linear algebra""","""algebraic geometry""",7
"""mathematical physics""","""algebraic geometry""",13
"""measure theory""","""algebraic geometry""",2
"""metric geometry""","""algebraic geometry""",1
"""modern algebra""","""algebraic geometry""",5
"""multilinear algebra""","""algebraic geometry""",1
"""non-euclidean geometry""","""algebraic geometry""",1
"""noncommutative algebra""","""algebraic geometry""",2
"""number theory""","""algebraic geometry""",32
"""perturbation theory""","""algebraic geometry""",1
"""plane geometry""","""algebraic geometry""",1
"""potential theory""","""algebraic geometry""",4
"""probability theory""","""algebraic geometry""",4
"""projective geometry""","""algebraic geometry""",11
"""projective differential geometry""","""algebraic geometry""",2
"""pure mathematics""","""algebraic geometry""",12
"""rational geometry""","""algebraic geometry""",9
"""real algebra""","""algebraic geometry""",6
"""real algebraic geometry""","""algebraic geometry""",4
"""real analysis""","""algebraic geometry""",3
"""representation theory""","""algebraic geometry""",5
"""representation theory of groups""","""algebraic geometry""",1
"""ring theory""","""algebraic geometry""",6
"""set theory""","""algebraic geometry""",4
"""singularity theory""","""algebraic geometry""",4
"""spectral theory""","""algebraic geometry""",2
"""statistics""","""algebraic geometry""",6
"""symplectic geometry""","""algebraic geometry""",3
"""synthetic geometry""","""algebraic geometry""",1
"""tensor""","""algebraic geometry""",7
"""theoretical physics""","""algebraic geometry""",5
"""topology""","""algebraic geometry""",33
"""trigonometry""","""algebraic geometry""",2
"""valuation theory""","""algebraic geometry""",3
"""algebra""","""algebraic graph theory""",2
"""analysis""","""algebraic graph theory""",1
"""applied mathematics""","""algebraic graph theory""",1
"""functional analysis""","""algebraic graph theory""",1
"""geometry""","""algebraic graph theory""",2
"""graph theory""","""algebraic graph theory""",2
"""group theory""","""algebraic graph theory""",1
"""measure theory""","""algebraic graph theory""",1
"""number theory""","""algebraic graph theory""",1
"""probability theory""","""algebraic graph theory""",1
"""statistical mechanics""","""algebraic graph theory""",1
"""abstract algebra""","""algebraic number theory""",4
"""algebra""","""algebraic number theory""",31
"""algebraic geometry""","""algebraic number theory""",5
"""algebraic topology""","""algebraic number theory""",3
"""analysis""","""algebraic number theory""",9
"""analytic number theory""","""algebraic number theory""",1
"""arithmetic""","""algebraic number theory""",7
"""calculus""","""algebraic number theory""",4
"""calculus of variations""","""algebraic number theory""",2
"""class field theory""","""algebraic number theory""",7
"""classical geometry""","""algebraic number theory""",1
"""classical mathematics""","""algebraic number theory""",1
"""combinatorial group theory""","""algebraic number theory""",1
"""combinatorial topology""","""algebraic number theory""",1
"""commutative algebra""","""algebraic number theory""",3
"""differential geometry""","""algebraic number theory""",4
"""diophantine geometry""","""algebraic number theory""",1
"""euclidean geometry""","""algebraic number theory""",1
"""field theory""","""algebraic number theory""",7
"""function theory""","""algebraic number theory""",1
"""functional analysis""","""algebraic number theory""",2
"""geometric group theory""","""algebraic number theory""",1
"""geometry""","""algebraic number theory""",18
"""group theory""","""algebraic number theory""",7
"""invariant theory""","""algebraic number theory""",1
"""knot theory""","""algebraic number theory""",2
"""linear algebra""","""algebraic number theory""",3
"""local class field theory""","""algebraic number theory""",2
"""mathematical logic""","""algebraic number theory""",2
"""mathematical physics""","""algebraic number theory""",2
"""non-euclidean geometry""","""algebraic number theory""",1
"""number theory""","""algebraic number theory""",31
"""plane geometry""","""algebraic number theory""",1
"""proof theory""","""algebraic number theory""",1
"""recursion theory""","""algebraic number theory""",1
"""ring theory""","""algebraic number theory""",2
"""set theory""","""algebraic number theory""",4
"""solid geometry""","""algebraic number theory""",1
"""spectral theory""","""algebraic number theory""",1
"""statistics""","""algebraic number theory""",2
"""symplectic geometry""","""algebraic number theory""",1
"""topology""","""algebraic number theory""",6
"""abstract algebra""","""algebraic topology""",4
"""algebra""","""algebraic topology""",53
"""algebraic geometry""","""algebraic topology""",12
"""algebraic number theory""","""algebraic topology""",3
"""analysis""","""algebraic topology""",14
"""analytic number theory""","""algebraic topology""",1
"""applied mathematics""","""algebraic topology""",6
"""arithmetic""","""algebraic topology""",4
"""arithmetic geometry""","""algebraic topology""",2
"""calculus""","""algebraic topology""",7
"""calculus of variations""","""algebraic topology""",2
"""chaos theory""","""algebraic topology""",1
"""class field theory""","""algebraic topology""",3
"""classical differential geometry""","""algebraic topology""",1
"""classical invariant theory""","""algebraic topology""",1
"""cohomology theory""","""algebraic topology""",7
"""combinatorial topology""","""algebraic topology""",4
"""commutative algebra""","""algebraic topology""",5
"""complex analysis""","""algebraic topology""",3
"""constructive mathematics""","""algebraic topology""",1
"""differential geometry""","""algebraic topology""",3
"""differential topology""","""algebraic topology""",6
"""dynamical systems theory""","""algebraic topology""",1
"""elimination theory""","""algebraic topology""",1
"""exterior algebra""","""algebraic topology""",1
"""field theory""","""algebraic topology""",4
"""function theory""","""algebraic topology""",3
"""general topology""","""algebraic topology""",2
"""geometric topology""","""algebraic topology""",2
"""geometry""","""algebraic topology""",24
"""group theory""","""algebraic topology""",4
"""homology theory""","""algebraic topology""",10
"""hyperbolic geometry""","""algebraic topology""",1
"""ideal theory""","""algebraic topology""",1
"""integral calculus""","""algebraic topology""",1
"""invariant theory""","""algebraic topology""",4
"""knot theory""","""algebraic topology""",3
"""mathematical logic""","""algebraic topology""",3
"""mathematical physics""","""algebraic topology""",4
"""measure theory""","""algebraic topology""",3
"""modern algebra""","""algebraic topology""",4
"""noncommutative algebra""","""algebraic topology""",1
"""number theory""","""algebraic topology""",7
"""perturbation theory""","""algebraic topology""",1
"""potential theory""","""algebraic topology""",2
"""projective geometry""","""algebraic topology""",2
"""representation theory""","""algebraic topology""",4
"""representation theory of groups""","""algebraic topology""",1
"""ring theory""","""algebraic topology""",4
"""set theory""","""algebraic topology""",4
"""statistics""","""algebraic topology""",1
"""symplectic geometry""","""algebraic topology""",1
"""tensor""","""algebraic topology""",2
"""tessellation""","""algebraic topology""",1
"""theoretical physics""","""algebraic topology""",4
"""topology""","""algebraic topology""",53
"""absolute differential calculus""","""analysis""",5
"""abstract algebra""","""analysis""",29
"""actuarial science""","""analysis""",6
"""additive number theory""","""analysis""",5
"""algebra""","""analysis""",267
"""algebraic analysis""","""analysis""",7
"""algebraic geometry""","""analysis""",36
"""algebraic graph theory""","""analysis""",1
"""algebraic number theory""","""analysis""",9
"""algebraic topology""","""analysis""",14
"""analytic combinatorics""","""analysis""",2
"""analytic geometry""","""analysis""",20
"""analytic number theory""","""analysis""",24
"""applied mathematics""","""analysis""",89
"""approximation theory""","""analysis""",22
"""arithmetic""","""analysis""",79
"""axiomatic geometry""","""analysis""",3
"""axiomatic set theory""","""analysis""",7
"""biostatistics""","""analysis""",6
"""birational geometry""","""analysis""",3
"""calculus""","""analysis""",169
"""calculus of variations""","""analysis""",41
"""chaos theory""","""analysis""",3
"""class field theory""","""analysis""",2
"""classical differential geometry""","""analysis""",3
"""classical analysis""","""analysis""",8
"""classical geometry""","""analysis""",2
"""classical mathematics""","""analysis""",3
"""cohomology theory""","""analysis""",6
"""combinatorial analysis""","""analysis""",4
"""combinatorial group theory""","""analysis""",2
"""combinatorial mathematics""","""analysis""",1
"""combinatorial optimization""","""analysis""",3
"""combinatorial theory""","""analysis""",3
"""combinatorial topology""","""analysis""",5
"""combinatorics""","""analysis""",38
"""commutative algebra""","""analysis""",9
"""complex analysis""","""analysis""",113
"""complex dynamics""","""analysis""",2
"""complexity theory""","""analysis""",6
"""computability theory""","""analysis""",2
"""computational complexity theory""","""analysis""",3
"""computational geometry""","""analysis""",5
"""computer algebra""","""analysis""",4
"""conformal geometry""","""analysis""",3
"""constructive function theory""","""analysis""",3
"""constructive mathematics""","""analysis""",5
"""coordinate geometry""","""analysis""",1
"""cryptography""","""analysis""",17
"""decision theory""","""analysis""",10
"""descriptive set theory""","""analysis""",6
"""differential calculus""","""analysis""",25
"""differential geometry""","""analysis""",72
"""differential geometry of curves""","""analysis""",2
"""differential geometry of surfaces""","""analysis""",4
"""differential topology""","""analysis""",6
"""discrete mathematics""","""analysis""",7
"""dynamical systems theory""","""analysis""",5
"""econometrics""","""analysis""",7
"""elementary mathematics""","""analysis""",11
"""elimination theory""","""analysis""",1
"""enumerative combinatorics""","""analysis""",3
"""epidemiology""","""analysis""",8
"""ergodic theory""","""analysis""",13
"""euclidean geometry""","""analysis""",3
"""exterior algebra""","""analysis""",3
"""field theory""","""analysis""",22
"""finite geometry""","""analysis""",2
"""fractal geometry""","""analysis""",2
"""function theory""","""analysis""",40
"""functional analysis""","""analysis""",131
"""game theory""","""analysis""",35
"""gauge theory""","""analysis""",3
"""general topology""","""analysis""",13
"""geometric algebra""","""analysis""",3
"""geometric calculus""","""analysis""",1
"""geometric group theory""","""analysis""",1
"""geometric measure theory""","""analysis""",5
"""geometric topology""","""analysis""",3
"""geometry""","""analysis""",268
"""geometry of numbers""","""analysis""",5
"""global analysis""","""analysis""",3
"""graph theory""","""analysis""",23
"""group theory""","""analysis""",40
"""harmonic analysis""","""analysis""",51
"""homology theory""","""analysis""",6
"""hyperbolic geometry""","""analysis""",3
"""hyperbolic trigonometry""","""analysis""",1
"""infinitesimal analysis""","""analysis""",11
"""infinitesimal calculus""","""analysis""",12
"""integral calculus""","""analysis""",22
"""invariant theory""","""analysis""",8
"""knot theory""","""analysis""",6
"""large deviations theory""","""analysis""",1
"""lattice theory""","""analysis""",4
"""line geometry""","""analysis""",2
"""linear algebra""","""analysis""",29
"""linear functional analysis""","""analysis""",10
"""local class field theory""","""analysis""",1
"""mathematical biology""","""analysis""",6
"""mathematical economics""","""analysis""",17
"""mathematical logic""","""analysis""",42
"""mathematical physics""","""analysis""",87
"""mathematical sciences""","""analysis""",21
"""mathematical statistics""","""analysis""",26
"""matrix calculus""","""analysis""",1
"""measure theory""","""analysis""",26
"""metric geometry""","""analysis""",3
"""microlocal analysis""","""analysis""",4
"""model theory""","""analysis""",11
"""modern algebra""","""analysis""",9
"""multilinear algebra""","""analysis""",2
"""non-euclidean geometry""","""analysis""",3
"""non-standard analysis""","""analysis""",12
"""nonlinear analysis""","""analysis""",8
"""nonlinear functional analysis""","""analysis""",9
"""number theory""","""analysis""",122
"""numerical analysis""","""analysis""",56
"""operator theory""","""analysis""",15
"""order theory""","""analysis""",3
"""perturbation theory""","""analysis""",5
"""plane geometry""","""analysis""",2
"""point-set topology""","""analysis""",5
"""potential theory""","""analysis""",36
"""probability theory""","""analysis""",85
"""probabilistic number theory""","""analysis""",5
"""projective geometry""","""analysis""",19
"""proof theory""","""analysis""",7
"""pure mathematics""","""analysis""",42
"""rational geometry""","""analysis""",3
"""real algebra""","""analysis""",7
"""real algebraic geometry""","""analysis""",3
"""real analysis""","""analysis""",44
"""recreational mathematics""","""analysis""",8
"""recursion theory""","""analysis""",3
"""representation theory""","""analysis""",19
"""ring theory""","""analysis""",18
"""set-theoretic topology""","""analysis""",3
"""set theory""","""analysis""",51
"""smooth infinitesimal analysis""","""analysis""",1
"""solid geometry""","""analysis""",2
"""spectral theory""","""analysis""",16
"""spherical geometry""","""analysis""",4
"""spherical trigonometry""","""analysis""",3
"""statistical mechanics""","""analysis""",14
"""statistical theory""","""analysis""",10
"""statistics""","""analysis""",124
"""stochastic process""","""analysis""",31
"""symplectic geometry""","""analysis""",7
"""synthetic geometry""","""analysis""",2
"""tensor""","""analysis""",32
"""tessellation""","""analysis""",4
"""theoretical physics""","""analysis""",27
"""topology""","""analysis""",111
"""trigonometry""","""analysis""",16
"""type theory""","""analysis""",6
"""umbral calculus""","""analysis""",2
"""universal algebra""","""analysis""",3
"""variational analysis""","""analysis""",1
"""vector algebra""","""analysis""",3
"""vector analysis""","""analysis""",10
"""vector calculus""","""analysis""",5
"""analysis""","""analytic combinatorics""",2
"""arithmetic""","""analytic combinatorics""",1
"""combinatorics""","""analytic combinatorics""",2
"""complex analysis""","""analytic combinatorics""",1
"""number theory""","""analytic combinatorics""",1
"""abstract algebra""","""analytic geometry""",4
"""algebra""","""analytic geometry""",30
"""algebraic analysis""","""analytic geometry""",2
"""algebraic geometry""","""analytic geometry""",8
"""analysis""","""analytic geometry""",20
"""applied mathematics""","""analytic geometry""",3
"""arithmetic""","""analytic geometry""",3
"""calculus""","""analytic geometry""",20
"""calculus of variations""","""analytic geometry""",4
"""classical geometry""","""analytic geometry""",1
"""complex analysis""","""analytic geometry""",5
"""cryptography""","""analytic geometry""",2
"""differential calculus""","""analytic geometry""",6
"""differential geometry""","""analytic geometry""",8
"""differential geometry of curves""","""analytic geometry""",1
"""differential geometry of surfaces""","""analytic geometry""",1
"""euclidean geometry""","""analytic geometry""",2
"""field theory""","""analytic geometry""",1
"""finite geometry""","""analytic geometry""",1
"""function theory""","""analytic geometry""",3
"""geometric algebra""","""analytic geometry""",1
"""geometry""","""analytic geometry""",46
"""graph theory""","""analytic geometry""",2
"""group theory""","""analytic geometry""",6
"""infinitesimal analysis""","""analytic geometry""",3
"""infinitesimal calculus""","""analytic geometry""",5
"""integral calculus""","""analytic geometry""",5
"""invariant theory""","""analytic geometry""",1
"""line geometry""","""analytic geometry""",1
"""linear algebra""","""analytic geometry""",2
"""mathematical biology""","""analytic geometry""",1
"""mathematical logic""","""analytic geometry""",1
"""mathematical physics""","""analytic geometry""",4
"""metric geometry""","""analytic geometry""",1
"""microlocal analysis""","""analytic geometry""",1
"""modern algebra""","""analytic geometry""",3
"""non-euclidean geometry""","""analytic geometry""",2
"""number theory""","""analytic geometry""",7
"""potential theory""","""analytic geometry""",2
"""probability theory""","""analytic geometry""",4
"""projective geometry""","""analytic geometry""",4
